,Stkcd,Size,BM,OP,INV
0,1,E,E,E,D
1,5,C,A,A,E
2,6,D,D,D,C
3,8,E,A,C,E
4,9,E,C,E,D
5,10,A,D,B,E
6,11,A,E,B,C
7,12,D,D,C,B
8,14,A,B,C,A
9,16,C,E,A,A
10,17,A,A,A,A
11,18,B,D,E,E
12,19,B,A,A,A
13,20,A,A,A,B
14,21,E,D,B,B
15,22,C,D,D,B
16,25,D,A,C,E
17,26,A,D,C,D
18,27,E,E,D,E
19,29,D,B,E,A
20,30,D,E,D,C
21,31,E,E,D,D
22,32,B,B,B,A
23,36,D,C,C,E
24,39,E,E,C,D
25,40,C,D,C,E
26,42,C,E,D,E
27,43,C,E,D,C
28,45,C,C,B,B
29,46,E,E,E,E
30,48,D,A,E,A
31,49,C,B,E,A
32,50,E,D,B,E
33,55,C,D,C,D
34,56,A,E,B,B
35,59,D,E,B,A
36,60,E,C,B,C
37,61,E,B,A,D
38,62,E,A,D,E
39,63,E,E,B,C
40,68,D,A,A,E
41,69,E,E,E,D
42,70,C,C,A,E
43,78,D,D,E,D
44,88,D,B,C,D
45,89,E,C,C,A
46,90,C,E,C,E
47,96,C,A,D,C
48,99,C,C,C,C
49,100,E,E,B,D
50,150,D,B,B,E
51,151,B,B,E,A
52,156,E,D,C,E
53,157,E,E,A,B
54,158,D,D,B,E
55,166,E,E,E,E
56,301,B,C,C,C
57,333,E,E,E,C
58,338,E,E,C,A
59,400,D,D,D,D
60,401,D,E,A,A
61,402,E,E,D,D
62,403,C,A,D,C
63,404,B,E,D,C
64,408,A,A,A,B
65,410,D,E,A,C
66,411,B,D,D,D
67,413,E,E,C,E
68,416,B,B,B,E
69,417,C,D,D,B
70,418,E,D,E,D
71,419,B,D,C,B
72,420,A,D,A,A
73,421,A,E,B,E
74,422,C,E,A,C
75,423,E,A,E,D
76,425,E,E,A,A
77,428,B,E,B,B
78,429,A,E,D,A
79,430,A,A,E,D
80,488,D,E,C,E
81,498,A,E,E,B
82,501,D,E,E,C
83,502,A,A,A,E
84,503,E,A,B,B
85,506,C,B,B,B
86,507,B,D,B,B
87,509,A,A,A,A
88,510,B,B,A,A
89,513,D,C,E,C
90,514,C,D,A,A
91,516,D,B,D,E
92,517,D,C,B,D
93,518,C,A,A,B
94,519,C,C,C,B
95,520,D,A,C,B
