"Indexcd","Month","Opdt","Clsdt","Idxrtn"
"000300","2005-01","2005-01-04","2005-01-31","0.000000"
"000300","2005-02","2005-02-01","2005-02-28","0.089132"
"000300","2005-03","2005-03-01","2005-03-31","-0.094026"
"000300","2005-04","2005-04-01","2005-04-29","-0.010404"
"000300","2005-05","2005-05-09","2005-05-31","-0.081993"
"000300","2005-06","2005-06-01","2005-06-30","0.026567"
"000300","2005-07","2005-07-01","2005-07-29","0.010777"
"000300","2005-08","2005-08-01","2005-08-31","0.044767"
"000300","2005-09","2005-09-01","2005-09-30","-0.011348"
"000300","2005-10","2005-10-10","2005-10-31","-0.044812"
"000300","2005-11","2005-11-01","2005-11-30","-0.002796"
"000300","2005-12","2005-12-01","2005-12-30","0.056785"
"000300","2006-01","2006-01-04","2006-01-25","0.093291"
"000300","2006-02","2006-02-06","2006-02-28","0.042997"
"000300","2006-03","2006-03-01","2006-03-31","0.007673"
"000300","2006-04","2006-04-03","2006-04-28","0.104854"
"000300","2006-05","2006-05-08","2006-05-31","0.164712"
"000300","2006-06","2006-06-01","2006-06-30","0.020880"
"000300","2006-07","2006-07-03","2006-07-31","-0.071473"
"000300","2006-08","2006-08-01","2006-08-31","0.034273"
"000300","2006-09","2006-09-01","2006-09-29","0.048241"
"000300","2006-10","2006-10-09","2006-10-31","0.043612"
"000300","2006-11","2006-11-01","2006-11-30","0.170635"
"000300","2006-12","2006-12-01","2006-12-29","0.190561"
"000300","2007-01","2007-01-04","2007-01-31","0.168683"
"000300","2007-02","2007-02-01","2007-02-28","0.066754"
"000300","2007-03","2007-03-01","2007-03-30","0.093222"
"000300","2007-04","2007-04-02","2007-04-30","0.279292"
"000300","2007-05","2007-05-08","2007-05-31","0.103757"
"000300","2007-06","2007-06-01","2007-06-29","-0.041719"
"000300","2007-07","2007-07-02","2007-07-31","0.185033"
"000300","2007-08","2007-08-01","2007-08-31","0.187476"
"000300","2007-09","2007-09-03","2007-09-28","0.053617"
"000300","2007-10","2007-10-08","2007-10-31","0.019304"
"000300","2007-11","2007-11-01","2007-11-30","-0.167201"
"000300","2007-12","2007-12-03","2007-12-28","0.126835"
"000300","2008-01","2008-01-02","2008-01-31","-0.134478"
"000300","2008-02","2008-02-01","2008-02-29","0.011720"
"000300","2008-03","2008-03-03","2008-03-31","-0.189113"
"000300","2008-04","2008-04-01","2008-04-30","0.044477"
"000300","2008-05","2008-05-05","2008-05-30","-0.087845"
"000300","2008-06","2008-06-02","2008-06-30","-0.226927"
"000300","2008-07","2008-07-01","2008-07-31","0.004796"
"000300","2008-08","2008-08-01","2008-08-29","-0.147429"
"000300","2008-09","2008-09-01","2008-09-26","-0.061874"
"000300","2008-10","2008-10-06","2008-10-31","-0.258506"
"000300","2008-11","2008-11-03","2008-11-28","0.099936"
"000300","2008-12","2008-12-01","2008-12-31","-0.006667"
"000300","2009-01","2009-01-05","2009-01-23","0.118258"
