"Markettype","Trdmnt","Cmretwdos"
"10","2010-01","-0.045360"
"5","2010-01","-0.084513"
"15","2010-01","-0.084056"
"21","2010-01","-0.084603"
"31","2010-01","-0.084146"
"63","2010-01","-0.084146"
"37","2010-01","-0.084513"
"47","2010-01","-0.084056"
"53","2010-01","-0.084603"
"69","2010-01","-0.084513"
"79","2010-01","-0.084056"
"85","2010-01","-0.084603"
"95","2010-01","-0.084146"
"101","2010-01","-0.084513"
"111","2010-01","-0.084056"
"117","2010-01","-0.084603"
"127","2010-01","-0.084146"
"33","2010-01","-0.090872"
"20","2010-01","-0.064534"
"10","2010-02","0.031446"
"5","2010-02","0.031042"
"15","2010-02","0.031047"
"21","2010-02","0.031244"
"31","2010-02","0.031247"
"63","2010-02","0.031247"
"37","2010-02","0.031042"
"47","2010-02","0.031047"
"53","2010-02","0.031244"
"69","2010-02","0.031042"
"79","2010-02","0.031047"
"85","2010-02","0.031244"
"95","2010-02","0.031247"
"101","2010-02","0.031042"
"111","2010-02","0.031047"
"117","2010-02","0.031244"
"127","2010-02","0.031247"
"33","2010-02","0.025090"
"20","2010-02","0.051213"
"10","2010-03","0.031041"
"5","2010-03","0.024570"
"15","2010-03","0.024645"
"21","2010-03","0.025174"
"31","2010-03","0.025241"
"63","2010-03","0.025241"
"37","2010-03","0.024570"
"47","2010-03","0.024645"
"53","2010-03","0.025174"
"69","2010-03","0.024570"
"79","2010-03","0.024645"
"85","2010-03","0.025174"
"95","2010-03","0.025241"
"101","2010-03","0.024570"
"111","2010-03","0.024645"
"117","2010-03","0.025174"
"127","2010-03","0.025241"
"33","2010-03","0.025675"
"20","2010-03","0.023596"
"10","2010-04","-0.036106"
"5","2010-04","-0.076756"
"15","2010-04","-0.076292"
"21","2010-04","-0.077046"
"31","2010-04","-0.076580"
"63","2010-04","-0.076580"
"37","2010-04","-0.076756"
"47","2010-04","-0.076292"
"53","2010-04","-0.077046"
"69","2010-04","-0.076756"
"79","2010-04","-0.076292"
"85","2010-04","-0.077046"
"95","2010-04","-0.076580"
"101","2010-04","-0.076756"
"111","2010-04","-0.076292"
"117","2010-04","-0.077046"
"127","2010-04","-0.076580"
"33","2010-04","-0.077184"
"20","2010-04","-0.076610"
"10","2010-05","-0.120787"
"5","2010-05","-0.083506"
"15","2010-05","-0.083942"
"21","2010-05","-0.083202"
"31","2010-05","-0.083639"
"63","2010-05","-0.083639"
"37","2010-05","-0.083506"
"47","2010-05","-0.083942"
"53","2010-05","-0.083202"
"69","2010-05","-0.083506"
"79","2010-05","-0.083942"
"85","2010-05","-0.083202"
"95","2010-05","-0.083639"
"101","2010-05","-0.083506"
"111","2010-05","-0.083942"
"117","2010-05","-0.083202"
"127","2010-05","-0.083639"
"33","2010-05","-0.086534"
"20","2010-05","-0.072877"
"10","2010-06","0.016965"
"5","2010-06","-0.076230"
"15","2010-06","-0.075196"
"21","2010-06","-0.076277"
"31","2010-06","-0.075249"
"63","2010-06","-0.075249"
"37","2010-06","-0.076230"
"47","2010-06","-0.075196"
"53","2010-06","-0.076277"
"69","2010-06","-0.076230"
"79","2010-06","-0.075196"
"85","2010-06","-0.076277"
"95","2010-06","-0.075249"
"101","2010-06","-0.076230"
"111","2010-06","-0.075196"
"117","2010-06","-0.076277"
"127","2010-06","-0.075249"
"33","2010-06","-0.072458"
"20","2010-06","-0.087817"
"10","2010-07","0.150793"
"5","2010-07","0.122383"
"15","2010-07","0.122732"
"21","2010-07","0.121927"
"31","2010-07","0.122279"
"63","2010-07","0.122279"
"37","2010-07","0.122383"
"47","2010-07","0.122732"
"53","2010-07","0.121927"
"69","2010-07","0.122383"
"79","2010-07","0.122732"
"85","2010-07","0.121927"
"95","2010-07","0.122279"
"101","2010-07","0.122383"
"111","2010-07","0.122732"
"117","2010-07","0.121927"
"127","2010-07","0.122279"
"33","2010-07","0.111845"
"20","2010-07","0.152077"
"10","2010-08","0.065212"
"5","2010-08","0.025563"
"15","2010-08","0.026049"
"21","2010-08","0.025767"
"31","2010-08","0.026247"
"63","2010-08","0.026247"
"37","2010-08","0.025563"
"47","2010-08","0.026049"
"53","2010-08","0.025767"
"69","2010-08","0.025563"
"79","2010-08","0.026049"
"85","2010-08","0.025767"
"95","2010-08","0.026247"
"101","2010-08","0.025563"
"111","2010-08","0.026049"
"117","2010-08","0.025767"
"127","2010-08","0.026247"
"33","2010-08","0.003982"
"20","2010-08","0.087822"
"10","2010-09","0.071459"
"5","2010-09","0.011533"
"15","2010-09","0.012277"
"21","2010-09","0.010816"
"31","2010-09","0.011563"
"63","2010-09","0.011563"
"37","2010-09","0.011533"
"47","2010-09","0.012277"
"53","2010-09","0.010816"
"69","2010-09","0.011533"
"79","2010-09","0.012277"
"85","2010-09","0.010816"
"95","2010-09","0.011563"
"101","2010-09","0.011533"
"111","2010-09","0.012277"
"117","2010-09","0.010816"
"127","2010-09","0.011563"
"33","2010-09","0.010801"
"20","2010-09","0.010855"
"10","2010-10","0.109836"
"5","2010-10","0.120296"
"15","2010-10","0.120162"
"21","2010-10","0.120389"
"31","2010-10","0.120255"
"63","2010-10","0.120255"
"37","2010-10","0.120296"
"47","2010-10","0.120162"
"53","2010-10","0.120389"
"69","2010-10","0.120296"
"79","2010-10","0.120162"
"85","2010-10","0.120389"
"95","2010-10","0.120255"
"101","2010-10","0.120296"
"111","2010-10","0.120162"
"117","2010-10","0.120389"
"127","2010-10","0.120255"
"33","2010-10","0.120990"
"20","2010-10","0.118839"
"10","2010-11","-0.010814"
"5","2010-11","-0.044656"
"15","2010-11","-0.044238"
"21","2010-11","-0.043472"
"31","2010-11","-0.043071"
"63","2010-11","-0.043071"
"37","2010-11","-0.044656"
