,const,beta_market,beta_SMB,beta_HML,beta_RMW,beta_CMA,t_const,t_beta_market,t_beta_SMB,t_beta_HML,t_beta_RMW,t_beta_CMA,,,,const,,,,,,t_const,,
0,-0.016594687,-0.180291258,0.611642639,0.55471068,0.154925071,0.965710906,-0.310262732,-0.431954437,0.902558952,0.720904969,0.108998665,0.871213705,,-0.016594687,0.006433899,0.002746676,0.002881422,0.002883042,,-0.310262732,0.14805135,0.065304903,0.078978405,0.069017422
1,0.022268371,0.103030833,0.54988666,0.772793625,-0.318861228,1.273800359,0.429275222,0.254517304,0.836638497,1.035528028,-0.231306599,1.184856526,,0.022268371,0.006736121,0.013283218,-0.004391395,-0.002676178,,0.429275222,0.149086868,0.301288762,-0.130114674,-0.081339555
2,0.007495942,-0.018495759,0.616120632,0.24982888,0.049452934,0.52192486,0.147117339,-0.046517091,0.954378604,0.340824848,0.036523186,0.494268192,,0.007495942,0.010757656,0.02167632,0.014827209,0.014219177,,0.147117339,0.264336624,0.594082997,0.430264035,0.449263962
3,0.01127149,0.034172708,0.399593933,0.2321192,-0.234323243,0.706040244,0.227753413,0.088484193,0.637264516,0.326021005,-0.17817135,0.688382854,,0.01127149,0.02368567,0.015370628,0.005521941,-0.000912565,,0.227753413,0.646995204,0.404060591,0.153579754,-0.028137579
4,0.012842177,0.052678836,0.781201163,0.76388114,0.619714185,0.698099102,0.279804772,0.147080589,1.343373042,1.156893023,0.508097237,0.733923113,,0.012842177,0.018260515,0.018474319,0.008473176,0.020537386,,0.279804772,0.43684783,0.491529626,0.251197231,0.546653413
5,0.006433899,-0.000971235,0.293448461,0.464400632,-0.395984557,0.916450545,0.14805135,-0.002863948,0.532950995,0.742817131,-0.342890411,1.017569808,,,,beta_market,,,,,,t_beta_market,,
6,0.006736121,0.018600667,0.312282937,0.546244935,-0.245849117,0.987677036,0.149086868,0.052754655,0.545500402,0.84036491,-0.204756228,1.054779095,,-0.180291258,-0.000971235,0.01456272,0.023442443,0.047078034,,-0.431954437,-0.002863948,0.044369397,0.082339296,0.144420472
7,0.010757656,0.042670751,0.222591713,0.563707166,-0.411616433,0.945071804,0.264336624,0.13436083,0.431683989,0.96281794,-0.380602209,1.120524855,,0.103030833,0.018600667,0.114059179,-0.037804293,-0.06473398,,0.254517304,0.052754655,0.331522185,-0.143538249,-0.252128445
8,0.02368567,0.162904566,0.275366585,0.508954248,-0.168009167,0.832037874,0.646995204,0.570231718,0.593668364,0.966373649,-0.172697995,1.096668834,,-0.018495759,0.042670751,0.160161002,0.101000229,0.122006855,,-0.046517091,0.13436083,0.562498125,0.375578489,0.493985373
9,0.018260515,0.106189545,0.23881731,0.681357615,-0.273541704,0.87891833,0.43684783,0.325537978,0.450920788,1.133034765,-0.246251935,1.01457163,,0.034172708,0.162904566,0.114281333,0.042402422,-0.029832124,,0.088484193,0.570231718,0.38497533,0.151124751,-0.117871729
