,const,beta_market,beta_SMB,beta_HML,beta_RMW,beta_CMA,t_const,t_beta_market,t_beta_SMB,t_beta_HML,t_beta_RMW,t_beta_CMA,,,,const,,,,,,t_const,,
0,0.004028619,-0.033968391,0.812825677,0.69923834,0.465205758,0.785152459,0.087484252,-0.094526035,1.393119714,1.055479795,0.380152416,0.822706174,,0.004028619,0.01342734,0.010544525,0.015358419,-0.008846182,,0.087484252,0.31051384,0.235970118,0.40907478,-0.252471913
1,-0.009474509,-0.142836995,0.559938655,0.633108673,-0.164284048,1.135196295,-0.177788818,-0.343471845,0.829288118,0.825803888,-0.116006424,1.027864094,,-0.009474509,0.010174291,0.014423703,-0.004255272,0.011668152,,-0.177788818,0.250904647,0.364642464,-0.121517728,0.387442883
2,0.001769676,-0.008342645,0.313635217,0.045325325,-0.144889482,0.669157744,0.03753259,-0.02267364,0.524997031,0.066820023,-0.115635328,0.684794513,,0.001769676,0.018912597,0.014939688,0.00186084,0.015427921,,0.03753259,0.456473012,0.419292632,0.057425228,0.430478663
3,0.01270166,0.038590273,0.756468303,0.493080332,0.424758168,0.603604502,0.226165445,0.088053446,1.063099214,0.610287407,0.284607571,0.518603292,,0.01270166,0.016937632,0.01347087,0.018837548,0.009623542,,0.226165445,0.380637854,0.358117517,0.581711611,0.252344173
4,0.039929596,0.207739789,0.414937208,0.586518114,-0.816661159,1.130139313,0.625609719,0.41709116,0.51310735,0.638764764,-0.481492364,0.85439279,,0.039929596,0.003484976,0.020330042,-0.00324488,0.0212622,,0.625609719,0.084300006,0.51260591,-0.091166335,0.548693347
5,0.01342734,0.077940951,0.265448702,0.630305156,-0.281081136,1.045524474,0.31051384,0.230972029,0.484494498,1.013194376,-0.244602895,1.166654295,,,,beta_market,,,,,,t_beta_market,,
6,0.010174291,0.059914806,0.359985669,0.546254225,-0.089318469,1.01358158,0.250904647,0.189339593,0.700659557,0.936376088,-0.082886683,1.20609158,,-0.033968391,0.077940951,0.079103286,0.115519113,-0.097152053,,-0.094526035,0.230972029,0.226843971,0.394287284,-0.355313682
7,0.018912597,0.09058593,0.166432715,0.79515755,-0.793458369,1.321456263,0.456473012,0.280173727,0.317044272,1.334037595,-0.720654345,1.538982729,,-0.142836995,0.059914806,0.092354243,-0.062231137,0.072071765,,-0.343471845,0.189339593,0.299192058,-0.227731305,0.306671565
8,0.016937632,0.096705828,0.278406178,0.485058197,-0.327976761,0.932316486,0.380637854,0.278493234,0.493804933,0.757711835,-0.27735837,1.010973233,,-0.008342645,0.09058593,0.132411623,0.014524102,0.072867547,,-0.02267364,0.280173727,0.476216626,0.057436203,0.260544019
9,0.003484976,-0.03021367,0.273950642,0.193480802,-0.035280447,0.102353435,0.084300006,-0.093655666,0.523018985,0.32532443,-0.032114477,0.119466816,,0.038590273,0.096705828,0.097634749,0.148079121,0.071734549,,0.088053446,0.278493234,0.332611334,0.585976116,0.24104017
10,0.010544525,0.079103286,0.1302182,0.663827009,-0.226856837,0.976673633,0.235970118,0.226843971,0.229995299,1.032608879,-0.191038452,1.054621135,,0.207739789,-0.03021367,0.108224672,-0.038401775,0.11351728,,0.41709116,-0.093655666,0.349682857,-0.138257857,0.375393016
11,0.014423703,0.092354243,0.078802971,0.579853346,-0.474038786,0.959899947,0.364642464,0.299192058,0.157235409,1.018965777,-0.45096547,1.170936837,,,,beta_SMB,,,,,,t_beta_SMB,,
12,0.014939688,0.132411623,0.243741101,0.534648766,0.093149399,0.868405946,0.419292632,0.476216626,0.539910493,1.043026242,0.098377256,1.176022214,,0.812825677,0.265448702,0.1302182,-0.123599426,0.253148915,,1.393119714,0.484494498,0.229995299,-0.259830382,0.570230674
13,0.01347087,0.097634749,0.391410452,0.406591075,0.41208139,0.373496223,0.358117517,0.332611334,0.821257984,0.751343779,0.412241621,0.479107686,,0.559938655,0.359985669,0.078802971,-0.085677313,0.094583604,,0.829288118,0.700659557,0.157235409,-0.193105832,0.247878445
