,const,beta_market,beta_SMB,beta_HML,beta_RMW,beta_CMA,t_const,t_beta_market,t_beta_SMB,t_beta_HML,t_beta_RMW,t_beta_CMA,,,,const,,,,,,t_const,,
0,-0.008585033,-0.119294209,0.824014585,0.673325527,0.630701769,0.754694591,-0.18841947,-0.335510345,1.427368164,1.027211455,0.520890942,0.799230561,,-0.008585033,0.013653676,0.018284848,0.01603648,0.001185121,,-0.18841947,0.330822123,0.479187647,0.432012548,0.027684366
1,-0.003764825,-0.088685801,0.416742609,0.485824414,-0.308023545,1.021961162,-0.07491757,-0.226149534,0.654521726,0.67199983,-0.230654389,0.981273994,,-0.003764825,0.012332549,0.013844962,0.009973037,0.01667602,,-0.07491757,0.286713627,0.319659434,0.26944203,0.571891832
2,0.029289415,0.143333269,0.37282509,0.559885499,-0.871879342,1.363645513,0.481713549,0.302084125,0.483950099,0.640071275,-0.539601922,1.082172956,,0.029289415,0.01860917,0.016527717,-0.004562936,0.014677278,,0.481713549,0.446963507,0.40469016,-0.123825525,0.506334287
3,0.035115398,0.201370777,0.5502364,0.001533742,-0.100531594,0.36450146,0.478704092,0.351778032,0.592019676,0.001453359,-0.051571652,0.239765026,,0.035115398,0.013301402,0.015688217,0.007650173,0.003013333,,0.478704092,0.323667384,0.438187451,0.237475768,0.091993233
4,0.006434633,-0.006279065,0.652395336,0.421294015,0.375673083,0.474240765,0.131672931,-0.016465329,1.053660867,0.599251266,0.289282213,0.468261685,,0.006434633,0.00081873,0.001458734,-0.000395707,0.014473536,,0.131672931,0.019361972,0.037311236,-0.011065477,0.401463053
5,0.013653676,0.075735743,0.191338441,0.542157112,-0.557828442,1.186766105,0.330822123,0.235151939,0.365901725,0.913105698,-0.508609572,1.38748117,,,,beta_market,,,,,,t_beta_market,,
6,0.012332549,0.068873285,0.41911137,0.680148021,0.001389393,0.997099267,0.286713627,0.205186613,0.769028127,1.09913209,0.001215513,1.118538446,,-0.119294209,0.075735743,0.127096053,0.131548536,-0.028836498,,-0.335510345,0.235151939,0.426824217,0.454125692,-0.086321151
7,0.01860917,0.094766534,0.405228871,0.614195562,-0.185910661,0.905487217,0.446963507,0.291677412,0.768179538,1.025422155,-0.168030569,1.04940811,,-0.088685801,0.068873285,0.109257891,0.068719388,0.122792932,,-0.226149534,0.205186613,0.323259498,0.237913969,0.539631849
8,0.013301402,0.059065146,0.310867388,0.417942204,-0.154509724,0.61158915,0.323667384,0.184177064,0.59702701,0.706917466,-0.141480401,0.718089085,,0.143333269,0.094766534,0.120621522,-0.031461428,0.091472131,,0.302084125,0.291677412,0.378475095,-0.109407469,0.4043741
9,0.00081873,-0.043244956,-0.122805436,0.306511344,-0.634354227,0.292612902,0.019361972,-0.131053065,-0.229215438,0.503856066,-0.564520555,0.333902355,,0.201370777,0.059065146,0.103471842,0.046429994,-0.019238784,,0.351778032,0.184177064,0.370349063,0.184692557,-0.075264325
10,0.018284848,0.127096053,0.284890661,0.744393251,-0.149856589,1.078417715,0.479187647,0.426824217,0.589263793,1.356024816,-0.147784551,1.363698285,,-0.006279065,-0.043244956,-0.029252848,-0.027903365,0.081097819,,-0.016465329,-0.131053065,-0.095881438,-0.099989837,0.288258974
11,0.013844962,0.109257891,0.233875273,0.512834647,0.058835068,0.718833236,0.319659434,0.323259498,0.426184198,0.823045909,0.051117657,0.800831083,,,,beta_SMB,,,,,,t_beta_SMB,,
12,0.016527717,0.120621522,0.217002842,0.499652605,-0.030927058,0.683327406,0.40469016,0.378475095,0.419365287,0.850411022,-0.028496224,0.807338445,,0.824014585,0.191338441,0.284890661,0.068243394,-0.072763252,,1.427368164,0.365901725,0.589263793,0.145099269,-0.134153299
13,0.015688217,0.103471842,0.228768764,0.662817751,-0.029654232,0.696040593,0.438187451,0.370349063,0.504313219,1.286860363,-0.031168217,0.938075801,,0.416742609,0.41911137,0.233875273,0.001417133,-0.377654396,,0.654521726,0.769028127,0.426184198,0.003021802,-1.022193944
14,0.001458734,-0.029252848,0.14978688,0.218643762,-0.339426664,0.498734856,0.037311236,-0.095881438,0.30238115,0.388733257,-0.326699556,0.615531663,,0.37282509,0.405228871,0.217002842,0.049726597,0.022665478,,0.483950099,0.768179538,0.419365287,0.10650545,0.061712618
15,0.01603648,0.131548536,0.068243394,0.642286813,-0.500547921,1.317859027,0.432012548,0.454125692,0.145099269,1.202727611,-0.507425069,1.713062869,,0.5502364,0.310867388,0.228768764,0.041707947,0.209832931,,0.592019676,0.59702701,0.504313219,0.102184292,0.505591479
16,0.009973037,0.068719388,0.001417133,0.42012811,-0.419051687,0.750998573,0.26944203,0.237913969,0.003021802,0.788988405,-0.426034192,0.979025632,,0.652395336,-0.122805436,0.14978688,-0.063887942,0.290087701,,1.053660867,-0.229215438,0.30238115,-0.141004421,0.635064059
17,-0.004562936,-0.031461428,0.049726597,0.637832831,-0.475123768,1.300537178,-0.123825525,-0.109407469,0.10650545,1.203160676,-0.485189616,1.702964525,,,,beta_HML,,,,,,t_beta_HML,,
18,0.007650173,0.046429994,0.041707947,0.63397947,-0.396060534,0.908652409,0.237475768,0.184692557,0.102184292,1.367962486,-0.462645715,1.361014795,,0.673325527,0.542157112,0.744393251,0.642286813,0.556246933,,1.027211455,0.913105698,1.356024816,1.202727611,0.903213771
19,-0.000395707,-0.027903365,-0.063887942,0.65520832,-0.588914486,0.877400607,-0.011065477,-0.099989837,-0.141004421,1.27358198,-0.619708883,1.183890411,,0.485824414,0.680148021,0.512834647,0.42012811,0.558428986,,0.67199983,1.09913209,0.823045909,0.788988405,1.331191022
20,0.001185121,-0.028836498,-0.072763252,0.556246933,-0.75438125,0.87681998,0.027684366,-0.086321151,-0.134153299,0.903213771,-0.663134753,0.9883242,,0.559885499,0.614195562,0.499652605,0.637832831,0.578921359,,0.640071275,1.025422155,0.850411022,1.203160676,1.388232891
21,0.01667602,0.122792932,-0.377654396,0.558428986,-1.086329651,0.987162756,0.571891832,0.539631849,-1.022193944,1.331191022,-1.401916162,1.633530544,,0.001533742,0.417942204,0.662817751,0.63397947,1.010371191,,0.001453359,0.706917466,1.286860363,1.367962486,2.144078693
22,0.014677278,0.091472131,0.022665478,0.578921359,-0.64115989,1.048834288,0.506334287,0.4043741,0.061712618,1.388232891,-0.832332944,1.745885282,,0.421294015,0.306511344,0.218643762,0.65520832,0.603353163,,0.599251266,0.503856066,0.388733257,1.27358198,1.163304693
23,0.003013333,-0.019238784,0.209832931,1.010371191,-0.14095006,0.828424696,0.091993233,-0.075264325,0.505591479,2.144078693,-0.161924667,1.220334457,,,,beta_RMW,,,,,,t_beta_RMW,,
24,0.014473536,0.081097819,0.290087701,0.603353163,0.397045428,0.016789446,0.401463053,0.288258974,0.635064059,1.163304693,0.414428933,0.022471099,,0.630701769,-0.557828442,-0.149856589,-0.500547921,-0.75438125,,0.520890942,-0.508609572,-0.147784551,-0.507425069,-0.663134753
,,,,,,,,,,,,,,-0.308023545,0.001389393,0.058835068,-0.419051687,-1.086329651,,-0.230654389,0.001215513,0.051117657,-0.426034192,-1.401916162
,,,,,,,,,,,,,,-0.871879342,-0.185910661,-0.030927058,-0.475123768,-0.64115989,,-0.539601922,-0.168030569,-0.028496224,-0.485189616,-0.832332944
,,,,,,,,,,,,,,-0.100531594,-0.154509724,-0.029654232,-0.396060534,-0.14095006,,-0.051571652,-0.141480401,-0.031168217,-0.462645715,-0.161924667
,,,,,,,,,,,,,,0.375673083,-0.634354227,-0.339426664,-0.588914486,0.397045428,,0.289282213,-0.564520555,-0.326699556,-0.619708883,0.414428933
,,,,,,,,,,,,,,,,beta_CMA,,,,,,t_beta_CMA,,
,,,,,,,,,,,,,,0.754694591,1.186766105,1.078417715,1.317859027,0.87681998,,0.799230561,1.38748117,1.363698285,1.713062869,0.9883242
,,,,,,,,,,,,,,1.021961162,0.997099267,0.718833236,0.750998573,0.987162756,,0.981273994,1.118538446,0.800831083,0.979025632,1.633530544
,,,,,,,,,,,,,,1.363645513,0.905487217,0.683327406,1.300537178,1.048834288,,1.082172956,1.04940811,0.807338445,1.702964525,1.745885282
,,,,,,,,,,,,,,0.36450146,0.61158915,0.696040593,0.908652409,0.828424696,,0.239765026,0.718089085,0.938075801,1.361014795,1.220334457
,,,,,,,,,,,,,,0.474240765,0.292612902,0.498734856,0.877400607,0.016789446,,0.468261685,0.333902355,0.615531663,1.183890411,0.022471099
