date,factor,pair,ret
20167,BM,AA,-0.010969842
20168,BM,AA,0.094092631
20169,BM,AA,0.059834602
201610,BM,AA,0.065691674
201611,BM,AA,0.034835101
201612,BM,AA,-0.00227837
20171,BM,AA,-0.052345617
20172,BM,AA,0.030881313
20173,BM,AA,-0.058653248
20174,BM,AA,-0.098388201
20175,BM,AA,-0.107843159
20176,BM,AA,0.041972342
20177,BM,AA,-0.029669255
20178,BM,AA,0.044341299
20179,BM,AA,0.022172874
201710,BM,AA,-0.016594538
201711,BM,AA,-0.068853194
201712,BM,AA,-0.043120026
20181,BM,AA,-0.076295523
20182,BM,AA,-0.079625519
20183,BM,AA,0.058630183
20184,BM,AA,-0.08039285
20185,BM,AA,-0.030577042
20186,BM,AA,-0.133260243
20187,BM,AA,-0.006345714
20167,BM,AB,0.010218354
20168,BM,AB,0.099462617
20169,BM,AB,0.015996286
201610,BM,AB,0.047841031
201611,BM,AB,0.062893807
201612,BM,AB,-0.011652291
20171,BM,AB,-0.025250912
20172,BM,AB,0.075841699
20173,BM,AB,-0.050125935
20174,BM,AB,-0.094100449
20175,BM,AB,-0.077505608
20176,BM,AB,0.040057204
20177,BM,AB,-0.020486758
20178,BM,AB,0.020336215
20179,BM,AB,-0.002462617
201710,BM,AB,-0.024015908
201711,BM,AB,-0.092732254
201712,BM,AB,-0.031390221
20181,BM,AB,-0.064339024
20182,BM,AB,-0.08734496
20183,BM,AB,0.074250799
20184,BM,AB,-0.063218057
20185,BM,AB,-0.003588098
20186,BM,AB,-0.138923093
20187,BM,AB,0.012880124
20167,BM,AC,0.018705386
20168,BM,AC,0.061654887
20169,BM,AC,0.019758988
201610,BM,AC,0.069423049
201611,BM,AC,0.102485567
201612,BM,AC,-0.02891633
20171,BM,AC,-0.034575348
20172,BM,AC,0.056426606
20173,BM,AC,-0.023509736
20174,BM,AC,-0.105900524
20175,BM,AC,-0.091830025
20176,BM,AC,0.020080865
20177,BM,AC,-0.043886997
20178,BM,AC,0.037671931
20179,BM,AC,0.014587455
201710,BM,AC,-0.045272764
201711,BM,AC,-0.098660658
201712,BM,AC,-0.037986794
20181,BM,AC,-0.036856717
20182,BM,AC,-0.056054355
20183,BM,AC,0.053293822
20184,BM,AC,-0.054993955
20185,BM,AC,0.001786058
20186,BM,AC,-0.121308591
20187,BM,AC,-0.005382779
20167,BM,AD,-0.023968142
20168,BM,AD,0.053441309
20169,BM,AD,0.003570152
201610,BM,AD,0.067759127
201611,BM,AD,0.04800352
201612,BM,AD,-0.017226476
20171,BM,AD,-0.055473272
20172,BM,AD,0.085732857
20173,BM,AD,-0.017065982
20174,BM,AD,-0.106904224
20175,BM,AD,-0.079233958
20176,BM,AD,0.02621164
20177,BM,AD,-0.040745552
20178,BM,AD,0.022884324
20179,BM,AD,0.003717794
201710,BM,AD,-0.031722384
201711,BM,AD,-0.11030347
201712,BM,AD,-0.035052971
20181,BM,AD,-0.043911601
20182,BM,AD,-0.05455118
20183,BM,AD,0.074873087
20184,BM,AD,-0.058328268
20185,BM,AD,0.01558238
20186,BM,AD,-0.109806608
20187,BM,AD,-0.015062665
20167,BM,AE,-0.014275142
20168,BM,AE,0.074915371
20169,BM,AE,0.029185039
201610,BM,AE,0.033399773
201611,BM,AE,0.02835982
201612,BM,AE,-0.044416145
20171,BM,AE,-0.049048014
20172,BM,AE,0.060726531
20173,BM,AE,-0.021427046
20174,BM,AE,-0.08955263
20175,BM,AE,-0.082082964
20176,BM,AE,0.016468867
20177,BM,AE,-0.023149939
20178,BM,AE,0.035787963
20179,BM,AE,-0.024992211
201710,BM,AE,-0.03483045
201711,BM,AE,-0.11980191
201712,BM,AE,-0.045215668
20181,BM,AE,-0.070181982
20182,BM,AE,-0.053944168
20183,BM,AE,0.02781965
20184,BM,AE,-0.053695272
20185,BM,AE,-0.011601443
20186,BM,AE,-0.13307249
20187,BM,AE,0.020629964
20167,OP,AA,-0.003067475
20168,OP,AA,0.052519227
20169,OP,AA,0.054923859
201610,OP,AA,0.042018538
201611,OP,AA,0.023060777
201612,OP,AA,-0.013356598
20171,OP,AA,-0.046882922
20172,OP,AA,0.025982537
20173,OP,AA,-0.042856854
20174,OP,AA,-0.101115312
20175,OP,AA,-0.08753229
20176,OP,AA,0.027263453
20177,OP,AA,-0.023407983
20178,OP,AA,0.027250269
20179,OP,AA,0.009001917
201710,OP,AA,-0.051292973
201711,OP,AA,-0.091288526
201712,OP,AA,-0.043309044
20181,OP,AA,-0.081697608
20182,OP,AA,-0.067974075
20183,OP,AA,0.052359318
20184,OP,AA,-0.078574923
20185,OP,AA,-0.041513861
20186,OP,AA,-0.124152823
20187,OP,AA,0.011160193
20167,OP,AB,-0.04138768
20168,OP,AB,0.068240794
20169,OP,AB,0.02261717
201610,OP,AB,0.058623403
201611,OP,AB,0.067708457
201612,OP,AB,-0.032147503
20171,OP,AB,-0.048888228
20172,OP,AB,0.044781653
20173,OP,AB,-0.034692575
20174,OP,AB,-0.101392265
20175,OP,AB,-0.088173883
20176,OP,AB,0.026534217
20177,OP,AB,-0.034525059
20178,OP,AB,0.032390466
20179,OP,AB,0.005493786
201710,OP,AB,-0.019848445
201711,OP,AB,-0.082355721
201712,OP,AB,-0.0384807
20181,OP,AB,-0.046619386
20182,OP,AB,-0.077019343
20183,OP,AB,0.065313233
20184,OP,AB,-0.063111187
20185,OP,AB,0.013943281
20186,OP,AB,-0.141680884
20187,OP,AB,0.002755746
20167,OP,AC,-0.032360946
20168,OP,AC,0.184282403
20169,OP,AC,-0.006345001
201610,OP,AC,0.071471613
201611,OP,AC,0.067391783
201612,OP,AC,0.012942382
20171,OP,AC,-0.042118415
20172,OP,AC,0.076655219
20173,OP,AC,-0.028703146
20174,OP,AC,-0.103463143
20175,OP,AC,-0.089538833
20176,OP,AC,0.033816848
20177,OP,AC,-0.052797489
20178,OP,AC,0.046735041
20179,OP,AC,-0.006181162
201710,OP,AC,-0.021963677
201711,OP,AC,-0.103876185
201712,OP,AC,-0.03522053
20181,OP,AC,-0.052381647
20182,OP,AC,-0.076997998
20183,OP,AC,0.077979961
20184,OP,AC,-0.036620268
20185,OP,AC,0.009999316
20186,OP,AC,-0.121461993
20187,OP,AC,-0.011540478
20167,OP,AD,0.142772212
20168,OP,AD,0.042006463
20169,OP,AD,-0.019419958
201610,OP,AD,0.084865636
201611,OP,AD,0.186874021
201612,OP,AD,-0.101547491
20171,OP,AD,-0.015367834
20172,OP,AD,0.132988418
20173,OP,AD,-0.026890335
20174,OP,AD,-0.10849776
20175,OP,AD,-0.10270073
20176,OP,AD,0.013505263
20177,OP,AD,-0.036068325
20178,OP,AD,0.041512735
