,Stkcd,Size,BM,OP,INV
0,1,E,E,E,E
1,2,E,E,E,E
2,4,A,A,D,A
3,5,B,A,A,B
4,6,D,C,E,C
5,7,C,A,B,E
6,8,A,B,D,E
7,9,E,C,C,C
8,11,B,E,E,C
9,12,E,C,B,A
10,14,B,C,C,C
11,16,C,E,A,A
12,18,A,A,A,A
13,19,B,B,C,D
14,20,A,D,B,B
15,21,E,D,B,A
16,22,D,B,E,B
17,23,A,D,A,C
18,24,E,E,E,E
19,25,A,A,A,C
20,26,A,E,D,D
21,27,D,D,C,B
22,28,E,C,E,D
23,29,C,B,D,D
24,30,A,A,E,A
25,31,D,E,D,C
26,32,B,B,E,C
27,33,A,A,A,A
28,34,A,A,A,A
29,36,C,C,B,C
30,37,A,E,A,B
31,39,E,E,D,A
32,40,B,C,E,E
33,43,D,E,E,E
34,45,B,B,A,B
35,46,E,C,D,E
36,48,C,A,A,A
37,49,E,A,E,E
38,50,D,C,A,A
39,55,C,C,B,C
40,56,C,C,B,E
41,58,C,B,C,B
42,59,D,E,B,D
43,60,E,B,D,B
44,61,E,C,A,C
45,62,D,C,E,C
46,63,E,E,A,B
47,65,B,C,E,E
48,66,B,E,A,D
49,68,D,A,A,C
50,69,E,E,E,D
51,70,B,C,C,C
52,78,D,C,C,D
53,88,D,A,D,A
54,89,D,C,D,D
55,90,D,D,C,D
56,96,B,B,B,A
57,99,C,B,D,E
58,100,E,E,B,C
59,150,B,B,B,C
60,151,B,B,C,E
61,153,B,B,B,C
62,155,B,C,A,B
63,156,B,E,D,E
64,157,E,D,E,D
65,158,C,D,A,C
66,159,C,B,C,A
67,301,D,B,C,B
68,338,E,E,D,C
69,400,E,B,E,A
70,401,E,D,A,C
71,402,E,E,E,D
72,404,B,E,E,C
73,407,D,B,A,B
74,408,B,A,D,B
75,409,C,A,D,E
76,410,C,E,A,B
77,411,C,D,E,C
78,413,D,A,E,E
79,415,C,E,C,E
80,416,C,A,D,C
81,417,D,C,E,C
82,418,B,E,D,A
83,419,C,C,D,B
84,420,A,E,A,D
85,421,B,C,A,A
