year,month,factor,pair,R
2012,20107,BM,AA,0.159983418
2012,20108,BM,AA,0.091647164
2012,20109,BM,AA,0.005807366
2012,201010,BM,AA,0.055689326
2012,201011,BM,AA,0.00757473
2012,201012,BM,AA,-0.026735776
2012,20111,BM,AA,-0.033089187
2012,20112,BM,AA,0.097477886
2012,20113,BM,AA,0.017584199
2012,20114,BM,AA,-0.019700112
2012,20115,BM,AA,-0.084633676
2012,20116,BM,AA,0.054536897
2012,20117,BM,AA,0.015084102
2012,20118,BM,AA,-0.007330379
2012,20119,BM,AA,-0.085343085
2012,201110,BM,AA,0.007125625
2012,201111,BM,AA,-0.023184589
2012,201112,BM,AA,-0.233921109
2012,20121,BM,AA,0.044276175
2012,20122,BM,AA,0.138721988
2012,20123,BM,AA,-0.049191068
2012,20124,BM,AA,0.04502796
2012,20125,BM,AA,0.009704418
2012,20126,BM,AA,-0.03126723
2012,20127,BM,AA,-0.130456873
2012,20107,BM,AB,0.132237441
2012,20108,BM,AB,0.143591359
2012,20109,BM,AB,0.018897095
2012,201010,BM,AB,0.073329685
2012,201011,BM,AB,0.03523816
2012,201012,BM,AB,-0.021815977
2012,20111,BM,AB,-0.090025748
2012,20112,BM,AB,0.117859427
2012,20113,BM,AB,0.007015148
2012,20114,BM,AB,-0.038185733
2012,20115,BM,AB,-0.079380054
2012,20116,BM,AB,0.057711461
2012,20117,BM,AB,0.005060821
2012,20118,BM,AB,-0.035445233
2012,20119,BM,AB,-0.097890747
2012,201110,BM,AB,0.02450059
2012,201111,BM,AB,-0.054271374
2012,201112,BM,AB,-0.181003427
2012,20121,BM,AB,0.016896889
2012,20122,BM,AB,0.145340034
2012,20123,BM,AB,-0.083407818
2012,20124,BM,AB,0.06414698
2012,20125,BM,AB,-0.006372393
2012,20126,BM,AB,-0.061007788
2012,20127,BM,AB,-0.122115891
2012,20107,BM,AC,0.144453184
2012,20108,BM,AC,0.111856481
2012,20109,BM,AC,-0.030136386
2012,201010,BM,AC,0.058231302
2012,201011,BM,AC,0.06439165
2012,201012,BM,AC,-0.010834046
2012,20111,BM,AC,-0.047815349
2012,20112,BM,AC,0.097935646
2012,20113,BM,AC,-0.015400449
2012,20114,BM,AC,-0.027642729
2012,20115,BM,AC,-0.067616062
2012,20116,BM,AC,0.047079473
2012,20117,BM,AC,0.032790637
2012,20118,BM,AC,-0.016191289
2012,20119,BM,AC,-0.110945284
2012,201110,BM,AC,0.026231864
2012,201111,BM,AC,-0.046854387
2012,201112,BM,AC,-0.192191325
2012,20121,BM,AC,-0.003877038
2012,20122,BM,AC,0.157261186
2012,20123,BM,AC,-0.078611277
2012,20124,BM,AC,0.064404305
2012,20125,BM,AC,0.004330466
2012,20126,BM,AC,-0.063844912
2012,20127,BM,AC,-0.111233674
