Stkcd,Size,BM,OP,INV
1,B,c,c,b
2,B,c,c,c
4,A,a,a,c
5,A,b,a,b
9,B,c,a,c
10,A,b,a,a
11,A,c,c,a
12,B,b,b,b
14,A,a,a,a
16,B,c,c,c
17,A,a,b,c
18,A,c,c,c
20,A,a,a,a
21,B,b,b,c
23,A,b,a,c
25,B,a,b,c
26,A,b,b,a
27,B,c,b,c
28,B,b,c,b
30,B,b,c,b
32,A,b,a,a
36,B,a,c,a
37,A,b,a,a
39,B,c,b,b
40,B,c,a,c
42,B,c,c,c
43,B,c,b,a
45,A,b,a,a
46,B,c,c,b
48,B,a,a,c
49,B,b,c,c
50,B,b,b,c
55,A,b,c,b
58,A,c,c,c
59,B,c,c,a
60,B,b,c,b
61,B,b,a,b
62,B,a,c,c
63,B,b,c,a
65,B,c,c,a
66,B,b,b,a
68,A,a,a,c
69,B,c,c,c
70,A,b,c,c
78,B,c,c,c
88,B,a,b,b
89,B,b,b,b
90,B,c,c,c
96,B,a,b,b
99,A,b,a,b
100,B,c,b,b
150,B,a,b,b
151,A,a,b,b
153,A,b,b,b
155,B,b,b,c
157,B,c,a,a
158,B,c,b,a
159,A,b,a,a
166,B,c,b,b
301,B,a,b,a
333,B,a,c,c
338,B,c,c,b
400,B,b,b,b
401,B,c,a,a
402,B,c,c,b
403,B,a,c,a
404,A,c,b,c
407,A,b,c,b
409,A,c,a,a
410,B,c,a,a
411,A,c,c,c
413,B,c,b,c
415,B,c,b,c
416,A,a,a,a
417,B,c,b,b
418,B,a,c,b
419,A,b,b,b
420,A,b,a,c
421,A,c,b,c
422,A,c,a,a
423,B,a,c,c
425,B,c,a,b
428,A,c,a,a
429,A,c,c,a
430,A,b,b,b
488,B,c,c,c
498,A,c,c,b
501,B,c,c,a
502,A,a,a,a
503,B,a,a,a
504,B,a,a,c
505,A,c,b,c
506,A,a,a,a
507,B,b,b,b
510,A,a,b,b
513,B,a,c,c
514,A,b,a,a
517,B,b,c,c
518,A,a,a,a
519,B,c,a,a
520,A,a,c,a
521,A,c,a,c
523,A,b,a,b
524,A,b,b,c
525,B,b,c,b
528,B,c,a,b
529,A,a,c,c
530,A,c,b,b
531,A,c,b,a
532,A,a,b,c
533,A,a,a,c
534,B,a,b,a
536,B,c,a,b
537,A,c,c,c
538,B,a,c,b
539,B,c,b,a
541,B,a,c,a
543,B,c,a,a
544,A,b,b,b
546,B,b,b,c
548,A,a,b,a
550,B,c,a,b
551,A,b,b,b
552,B,c,b,b
553,A,c,b,c
554,A,a,a,b
555,B,b,b,b
557,A,c,a,a
558,B,a,b,a
559,B,a,c,a
560,B,c,a,c
561,A,a,b,c
563,B,b,b,a
565,A,a,b,c
567,A,b,c,c
568,B,a,c,c
570,A,c,a,a
571,A,b,a,b
572,B,c,a,a
573,A,b,a,b
576,A,a,a,a
581,B,b,c,b
582,A,c,b,b
584,B,a,b,c
585,A,a,c,a
586,A,a,a,a
587,A,c,c,b
589,A,c,a,a
590,A,a,a,c
591,B,c,b,b
592,B,a,a,b
593,A,b,a,b
595,A,b,a,c
596,B,a,c,b
597,B,c,a,b
598,B,b,b,b
599,A,c,a,b
600,B,c,a,b
601,B,b,b,b
605,A,c,b,c
606,A,b,a,c
607,A,a,b,b
608,A,b,b,a
609,A,a,b,a
610,A,a,a,a
612,B,b,a,a
613,A,a,a,a
615,A,c,c,c
616,A,c,a,b
617,A,c,b,b
619,A,b,a,a
620,B,c,c,b
622,A,a,a,a
623,B,b,b,b
625,B,c,c,a
626,A,c,b,a
627,B,c,b,c
628,A,c,a,a
630,B,c,b,b
631,B,b,c,a
632,A,c,b,b
633,A,a,a,a
635,A,b,a,b
636,B,b,b,a
637,A,a,c,a
638,A,a,b,a
639,B,b,c,a
650,B,a,c,b
651,B,a,c,c
652,B,c,c,a
655,A,b,a,a
