Stkcd,Size,BM,OP,INV
1,B,c,c,c
2,B,c,c,c
4,A,a,b,a
5,A,a,a,b
6,B,b,c,b
7,B,a,b,c
8,A,a,b,c
9,B,b,b,b
11,A,c,c,b
12,B,b,b,a
14,A,b,b,b
16,A,c,a,a
18,A,a,a,a
19,A,a,b,b
20,A,b,a,a
21,B,b,a,a
22,B,b,c,b
23,A,b,a,b
24,B,c,c,c
25,A,a,a,b
26,A,c,b,b
27,B,c,b,a
28,B,b,c,c
29,B,b,b,b
30,A,a,c,a
31,B,c,c,b
32,A,b,c,b
33,A,a,a,a
34,A,a,a,a
36,B,b,b,b
37,A,c,a,a
39,B,c,c,a
40,A,b,c,c
43,B,c,c,c
45,A,b,a,b
46,B,b,b,c
48,B,a,a,a
49,B,a,c,c
50,B,b,a,a
55,A,b,a,b
56,B,b,b,c
58,A,a,b,b
59,B,c,a,b
60,B,a,b,a
61,B,b,a,b
62,B,b,c,b
63,B,c,a,a
65,A,b,c,c
66,A,c,a,c
68,B,a,a,b
69,B,c,c,b
70,A,b,b,b
78,B,b,b,c
88,B,a,b,a
89,B,b,b,b
90,B,c,b,b
96,A,a,a,a
99,B,b,b,c
100,B,c,a,b
150,A,b,a,b
151,A,b,b,c
153,A,b,a,b
155,A,b,a,a
156,A,c,c,c
157,B,b,c,c
158,A,c,a,b
159,B,a,b,a
301,B,b,b,a
338,B,c,c,b
400,B,b,c,a
401,B,c,a,b
402,B,c,c,b
404,A,c,c,b
407,B,b,a,a
408,A,a,b,b
409,A,a,c,c
410,B,c,a,b
411,A,c,c,b
413,B,a,c,c
415,B,c,b,c
416,A,a,c,b
417,B,b,c,b
418,A,c,b,a
419,A,b,c,b
420,A,c,a,b
421,A,b,a,a
422,B,c,c,b
423,B,a,c,c
425,B,b,c,c
426,B,a,b,b
428,B,c,b,c
429,A,c,b,b
430,A,a,c,b
488,B,c,a,b
501,B,b,c,b
502,A,a,a,a
503,B,a,a,b
504,A,a,c,a
505,A,b,a,b
506,B,a,c,a
507,A,b,b,b
509,A,a,c,a
510,B,a,a,a
511,B,b,b,b
513,B,b,c,c
514,B,b,a,c
516,B,b,c,b
517,A,c,c,b
518,B,a,a,a
519,A,a,a,a
520,A,c,c,a
521,A,c,b,b
523,B,a,a,c
524,A,a,b,b
525,B,c,b,c
528,B,c,a,a
529,B,a,b,b
530,A,b,b,a
531,B,b,c,c
532,B,a,b,a
533,A,b,b,b
534,A,c,c,c
536,B,b,c,c
537,B,b,c,b
538,B,a,c,b
539,B,c,c,c
540,B,c,b,c
541,B,a,c,b
543,B,c,b,b
544,B,a,b,b
546,A,a,b,a
547,A,b,b,c
548,A,b,a,b
550,B,b,c,b
551,B,b,a,a
552,B,b,c,c
553,B,b,c,b
554,A,a,b,b
558,A,c,b,c
559,B,b,b,a
560,A,c,c,a
561,A,b,b,b
562,B,b,b,c
563,B,a,b,c
564,A,c,b,c
565,A,a,b,b
566,B,a,b,c
567,A,a,b,a
568,B,a,c,c
570,A,b,a,b
571,A,a,b,b
572,B,c,b,a
573,B,b,b,b
576,A,a,a,a
581,B,a,c,c
582,A,b,c,c
584,B,b,b,a
585,A,a,a,a
586,A,a,a,a
587,B,a,c,c
589,A,c,b,a
590,A,a,c,b
591,A,b,a,b
592,B,a,a,a
593,A,a,b,a
594,A,b,a,a
595,A,a,a,a
596,B,a,c,c
597,A,c,a,a
598,B,b,c,c
599,A,c,a,a
600,B,c,b,b
601,B,c,b,b
603,A,a,c,a
605,A,a,b,b
606,B,a,a,c
607,A,b,a,c
608,B,b,b,b
609,A,b,b,b
610,A,a,b,a
611,A,a,a,b
612,B,b,a,c
613,A,a,a,a
615,A,b,a,c
616,B,c,c,c
617,A,b,a,a
619,A,b,b,b
620,A,c,c,c
623,B,a,b,b
625,B,b,b,c
